Hospital_Name,Latitude,Longitude,District
Ramyasai Nursing Home,17.6861622,83.0016124,Anakapalli
St.Ann's Hospital,17.9135879,82.8137411,Anakapalli
Vikram Hospital,17.6870707,83.0013013,Anakapalli
Sri Lalitha Nursing Home,17.669849,82.6080698,Anakapalli
Sri Rama Mother and Child Hospital,17.8269229,82.9366171,Anakapalli
Sri Subrahmanyam Nursing Home,17.3623264,82.556764,Anakapalli
"Government Hospital, Godicherla",17.3921523,82.6221342,Anakapalli
"Government Hospital,Cheedikada",17.927342,82.8931162,Anakapalli
"Government hospital, Rambili",17.465312,82.9301819,Anakapalli
"NTR Government Hospital,Anakapalle",17.6845257,83.0067163,Anakapalli
"Government Hospital, Munagapaka",17.633837,82.986613,Anakapalli
"Government Hospital,Nakkapalli",17.4130916,82.7254825,Anakapalli
Area Hospital - Narsipatnam,17.6727959,82.6106725,Anakapalli
"Government Hospital, K Kotapadu",17.8883305,83.0408116,Anakapalli
"Government Hospital,Madugula",17.9183224,82.8185393,Anakapalli
"Government Hospital,Regupalem",17.5178218,82.816752,Anakapalli
"Government Hospital, Golugonda",17.6774183,82.4720572,Anakapalli
Akshaya Hospitals,17.6613348,82.6275161,Anakapalli
Uma Maheswara Children Hospital,17.668902,82.610393,Anakapalli
Tirumala Jyoti Hospital,17.683136,83.001827,Anakapalli
Government Hospital,17.7467671,82.9560418,Anakapalli
Dr. Soma Raju Children Hospital,17.6882064,83.0101255,Anakapalli
Kalyani Nursing Home,17.687728,83.001839,Anakapalli
Annapurna Hospital,17.6842691,83.011245,Anakapalli
SS Dental Hospital,17.688264,83.009283,Anakapalli
Maternity Hospital,17.6848737,83.0101274,Anakapalli
Sai Teja Hospital,17.686424,83.00072,Anakapalli
Benargy Hospital,17.6753904,83.0010632,Anakapalli
Sri Sagar Hospital,17.6892581,83.0021022,Anakapalli
Abhay Arogya Hospital,17.8278456,82.9368591,Anakapalli
Sri Vijaya Lakshmi Hospital,17.8297069,82.9274015,Anakapalli
Sri Srinivasa Hospital,17.9169656,82.8128916,Anakapalli
Dr. C S Kumar Hospital,17.664493,82.613169,Anakapalli
Srinivasa Children's Hospital,17.688484,83.002889,Anakapalli
Government Hospital,17.9925538,82.9828155,Anakapalli
Dr. Yekkala Rama Krishna Hospital,17.664949,82.614116,Anakapalli
Thummapala Primary Hospital,17.7092053,82.9985248,Anakapalli
London Children's Hospital,17.6852716,83.0024749,Anakapalli
Gollaprolu Children's Hospital,17.5478426,82.8529786,Anakapalli
Lakshmi Children Hospital,17.8250127,82.9417718,Anakapalli
American Hospital,17.6744778,82.5970027,Anakapalli
Nirmala Maternity Hospital,17.6854923,83.00227,Anakapalli
Ayyappa Gupta Eye Hospital,17.6916683,83.0037356,Anakapalli
Sri Dhanvi Multi Speciality Dental Hospital,17.6604204,82.615497,Anakapalli
Government Hospital,17.8402661,82.9988148,Anakapalli
Usha Prime Multispeciality Hospital,17.687618,83.001744,Anakapalli
Hosanna Hospital,17.566434,82.682574,Anakapalli
Janaseva Eye Hospital,17.5516438,82.8533103,Anakapalli
Dr. K. Venkatesh Hospital,17.9272601,82.8906247,Anakapalli
Sahasra Dental Hospital,17.6671649,82.6123346,Anakapalli
Spark Dental Hospital,17.82508,82.9391521,Anakapalli
Sree Seshapadma Hospital,17.5534898,82.8517581,Anakapalli
Gadam Dental Hospital,17.687646,83.002401,Anakapalli
Medikon Hospital,17.680999,83.001142,Anakapalli
Ravi Hospital,17.686005,83.009456,Anakapalli
Laxmi Orthopaedic Hospital,17.68721,83.005706,Anakapalli
Dr. Adikari Gopalarao Hospital,17.6625914,82.6187861,Anakapalli
Lifeline Hospital,17.6645905,82.6124877,Anakapalli
Sapthagiri Hospital,17.69098,83.0099047,Anakapalli
Dr. Thrinadh Hospital,17.5452357,82.8498751,Anakapalli
Emmanuel General Hospital,17.631329,82.693721,Anakapalli
Ananda Nursing Home,17.6650881,82.6156386,Anakapalli
Dr. Ram Mohan Hospital,17.685712,83.0015806,Anakapalli
Government Hospital,17.5098894,82.6259387,Anakapalli
Mother and Child Hospital,17.685934,83.001269,Anakapalli
Siddhartha Nursing Home,17.6843742,83.0022801,Anakapalli
Vijaya Hospital,17.544446,82.849726,Anakapalli
Drusti Eye Hospital,17.659848,82.627161,Anakapalli
Sri Venkateswara Hospital,17.6777911,83.0006719,Anakapalli
Satya Sai Hospital,17.6677008,82.6115976,Anakapalli
Government Hospital,17.3476116,82.5863171,Anakapalli
Lazam Hospital,17.4078787,82.7119667,Anakapalli
Sri Viajaya Sai Matha Hospital,17.3599386,82.557579,Anakapalli
Sriprakash Ayurveda Hospital,17.369831,82.569309,Anakapalli
Starzen Hospital,17.562306,82.9771482,Anakapalli
Jai Srikrishna Hospital,17.5619762,82.9768678,Anakapalli
Siddhartha Charitable Eye Hospital,17.3644361,82.5610684,Anakapalli
NTPC Hospital,17.5685137,83.0939853,Anakapalli
Mother and Child Hospital,17.790161,83.12163,Anakapalli
Sharan Hospital,17.6297105,83.077059,Anakapalli
Asha Hospital Diabetes & Multi Speciality,17.6212637,83.08184,Anakapalli
Surya Teja Multispeciality Hospital,17.5659385,82.9784452,Anakapalli
Amma Hospital,17.6288271,83.0901428,Anakapalli
Hetero Eye Hospital,17.4096155,82.7166731,Anakapalli
Geetha Eye & Orthopaedic Hospital,17.6872398,83.0127619,Anakapalli
Visakhapatnam Steel General Hospital,17.66311582,83.14412835,Anakapalli
Santhi Homoeo Clinic,15.1619769,77.3813452,Anantapur
Government Hospital,14.6982401,76.8513762,Anantapur
K K Nursing Home,14.6789441,77.602921,Anantapur
Sri Devi Children's Hospital,14.9053993,78.0112076,Anantapur
Vijaya Nursing Home - Anantapur,14.6651404,77.6096823,Anantapur
